ID1,HHID,HVIDX,QHCLUSTER,QHNUMBER,QHHOME,PS109_1R,PS109_1A,PS109_1M,PS109_1S,PS7
2019,"000102801",3,1,28,1,1,1,4,1,1
2019,"000102801",4,1,28,1,1,1,4,2,2
2019,"000104801",3,1,48,1,1,4,4,1,1
2019,"000104801",4,1,48,1,1,4,4,1,2
2019,"000104801",5,1,48,1,1,0,4,2,3
2019,"000113601",4,1,136,1,1,1,4,2,1
2019,"000119101",2,1,191,1,1,1,4,2,1
2019,"000120701",4,1,207,1,1,3,4,1,1
2019,"000120701",5,1,207,1,1,1,4,2,2
2019,"000200301",4,2,3,1,1,4,1,2,1
2019,"000203001",3,2,30,1,1,3,1,1,1
2019,"000203001",4,2,30,1,1,1,1,2,2
2019,"000208001",4,2,80,1,1,1,1,2,1
2019,"000209401",3,2,94,1,1,0,1,2,1
2019,"000406001",4,4,60,1,1,4,3,2,1
2019,"000413001",4,4,130,1,1,6,3,2,1
2019,"000413101",3,4,131,1,1,1,3,2,1
2019,"000415901",5,4,159,1,1,6,3,1,1
2019,"000415901",6,4,159,1,1,0,3,2,2
2019,"000417401",5,4,174,1,1,0,3,2,1
2019,"000503401",4,5,34,1,1,2,2,1,1
2019,"000503401",5,5,34,1,1,0,2,2,2
2019,"000508001",3,5,80,1,1,3,2,1,1
2019,"000508001",4,5,80,1,1,1,2,2,2
2019,"000509801",4,5,98,1,1,6,2,1,1
2019,"000509801",5,5,98,1,1,5,2,1,2
2019,"000509801",6,5,98,1,1,4,2,2,3
2019,"000512001",2,5,120,1,1,1,2,2,1
2019,"000606601",3,6,66,1,1,3,3,1,1
2019,"000606601",4,6,66,1,1,3,3,2,2
2019,"000611601",3,6,116,1,1,2,3,2,1
2019,"000612701",3,6,127,1,1,1,3,2,1
2019,"000800201",4,8,2,1,1,0,1,2,1
2019,"000801101",3,8,11,1,1,5,1,1,1
2019,"000801101",4,8,11,1,1,2,1,2,2
2019,"000801201",3,8,12,1,1,5,1,1,1
