Nº,VARIABLE,DESCRIPCIÓN DE LAS VARIABLES,TIPO DE CARÁCTER,LONGITUD,RANGO DE VARIACIÓN,VALORES,DESCRIPCIÓN DE LAS ALTERNATIVAS,OBS
1,ID1,Año,N,4,,,,
2,HHID,Identificacion Cuestionario del Hogar,AN,15,000100101:317599999,,,
3,HV201,¿Cuál es la fuente principal de abastecimiento de agua para tomar o beber?,N,2,"11:13, 21:22, 41, 43, 51, 61, 71, 96",11,Dentro de la vivienda,
3,HV201,¿Cuál es la fuente principal de abastecimiento de agua para tomar o beber?,N,2,"11:13, 21:22, 41, 43, 51, 61, 71, 96",12,"Fuera de la vivienda, pero dentro del edificio",
3,HV201,¿Cuál es la fuente principal de abastecimiento de agua para tomar o beber?,N,2,"11:13, 21:22, 41, 43, 51, 61, 71, 96",13,Pilón/Grifo público,
3,HV201,¿Cuál es la fuente principal de abastecimiento de agua para tomar o beber?,N,2,"11:13, 21:22, 41, 43, 51, 61, 71, 96",21,Pozo en la vivineda/patio/lote,
3,HV201,¿Cuál es la fuente principal de abastecimiento de agua para tomar o beber?,N,2,"11:13, 21:22, 41, 43, 51, 61, 71, 96",22,Pozo público,
3,HV201,¿Cuál es la fuente principal de abastecimiento de agua para tomar o beber?,N,2,"11:13, 21:22, 41, 43, 51, 61, 71, 96",41,Manantial (puquio),
3,HV201,¿Cuál es la fuente principal de abastecimiento de agua para tomar o beber?,N,2,"11:13, 21:22, 41, 43, 51, 61, 71, 96",43,Río/acequia/laguna,
3,HV201,¿Cuál es la fuente principal de abastecimiento de agua para tomar o beber?,N,2,"11:13, 21:22, 41, 43, 51, 61, 71, 96",51,Agua de lluvia,
3,HV201,¿Cuál es la fuente principal de abastecimiento de agua para tomar o beber?,N,2,"11:13, 21:22, 41, 43, 51, 61, 71, 96",61,Camión cisterna,
3,HV201,¿Cuál es la fuente principal de abastecimiento de agua para tomar o beber?,N,2,"11:13, 21:22, 41, 43, 51, 61, 71, 96",71,Agua embotellada,
3,HV201,¿Cuál es la fuente principal de abastecimiento de agua para tomar o beber?,N,2,"11:13, 21:22, 41, 43, 51, 61, 71, 96",96,Otro,
4,HV202,¿Cuál es la fuente principal de abastecimiento de agua en su hogar?,N,2,"11:13, 21:22, 41, 43, 51, 61, 96",11,Dentro de la vivienda,
4,HV202,¿Cuál es la fuente principal de abastecimiento de agua en su hogar?,N,2,"11:13, 21:22, 41, 43, 51, 61, 96",12,"Fuera de la vivienda, pero dentro del edificio",
4,HV202,¿Cuál es la fuente principal de abastecimiento de agua en su hogar?,N,2,"11:13, 21:22, 41, 43, 51, 61, 96",13,Pilón/Grifo público,
4,HV202,¿Cuál es la fuente principal de abastecimiento de agua en su hogar?,N,2,"11:13, 21:22, 41, 43, 51, 61, 96",21,Pozo en la vivineda/patio/lote,
4,HV202,¿Cuál es la fuente principal de abastecimiento de agua en su hogar?,N,2,"11:13, 21:22, 41, 43, 51, 61, 96",22,Pozo público,
4,HV202,¿Cuál es la fuente principal de abastecimiento de agua en su hogar?,N,2,"11:13, 21:22, 41, 43, 51, 61, 96",41,Manantial (puquio),
4,HV202,¿Cuál es la fuente principal de abastecimiento de agua en su hogar?,N,2,"11:13, 21:22, 41, 43, 51, 61, 96",43,Río/acequia/laguna,
4,HV202,¿Cuál es la fuente principal de abastecimiento de agua en su hogar?,N,2,"11:13, 21:22, 41, 43, 51, 61, 96",51,Agua de lluvia,
4,HV202,¿Cuál es la fuente principal de abastecimiento de agua en su hogar?,N,2,"11:13, 21:22, 41, 43, 51, 61, 96",61,Camión cisterna,
4,HV202,¿Cuál es la fuente principal de abastecimiento de agua en su hogar?,N,2,"11:13, 21:22, 41, 43, 51, 61, 96",96,Otro,
5,HV204,"¿Cuánto tiempo se demora en ir, recoger agua y volver?",N,3,"0:300, 996, 998",996,En las instalaciones,
5,HV204,"¿Cuánto tiempo se demora en ir, recoger agua y volver?",N,3,"0:300, 996, 998",998,No sabe,
6,HV205,¿Qué tipo de servicio higiénico tiene su hogar?,N,2,"11:12, 21:24, 31, 32, 96",11,Dentro de la vivienda,
6,HV205,¿Qué tipo de servicio higiénico tiene su hogar?,N,2,"11:12, 21:24, 31, 32, 96",12,"Fuera de la vivienda, pero dentro del edificio",
6,HV205,¿Qué tipo de servicio higiénico tiene su hogar?,N,2,"11:12, 21:24, 31, 32, 96",21,Letrina mejorada ventilada,
6,HV205,¿Qué tipo de servicio higiénico tiene su hogar?,N,2,"11:12, 21:24, 31, 32, 96",22,Pozo séptico,
6,HV205,¿Qué tipo de servicio higiénico tiene su hogar?,N,2,"11:12, 21:24, 31, 32, 96",23,Latrina (pozo ciego o negro),
6,HV205,¿Qué tipo de servicio higiénico tiene su hogar?,N,2,"11:12, 21:24, 31, 32, 96",24,Latrina mejorada colgada/flotante,
6,HV205,¿Qué tipo de servicio higiénico tiene su hogar?,N,2,"11:12, 21:24, 31, 32, 96",31,"Río, acequia o canal",
6,HV205,¿Qué tipo de servicio higiénico tiene su hogar?,N,2,"11:12, 21:24, 31, 32, 96",32,Sin servicio (matorral/campo),
6,HV205,¿Qué tipo de servicio higiénico tiene su hogar?,N,2,"11:12, 21:24, 31, 32, 96",96,Otro,
7,HV206,¿Tiene electricidad en su hogar?,N,1,0:1,0,No,
7,HV206,¿Tiene electricidad en su hogar?,N,1,0:1,1,Si,
8,HV207,Su hogar ¿tiene radio?,N,1,0:1,0,No,
8,HV207,Su hogar ¿tiene radio?,N,1,0:1,1,Si,
9,HV208,Su hogar ¿tiene televisor?,N,1,0:1,0,No,
9,HV208,Su hogar ¿tiene televisor?,N,1,0:1,1,Si,
10,HV209,Su hogar ¿tiene refrigeradora /congeladora?,N,1,0:1,0,No,
10,HV209,Su hogar ¿tiene refrigeradora /congeladora?,N,1,0:1,1,Si,
11,HV210,Algún miembro de su hogar ¿tiene bicleta/triciclo?,N,1,0:1,0,No,
11,HV210,Algún miembro de su hogar ¿tiene bicleta/triciclo?,N,1,0:1,1,Si,
12,HV211,Algún miembro de su hogar ¿tiene motocileta/ motokar?,N,1,0:1,0,No,
12,HV211,Algún miembro de su hogar ¿tiene motocileta/ motokar?,N,1,0:1,1,Si,
13,HV212,Algún miembro de su hogar ¿tiene carro o camión?,N,1,0:1,0,No,
13,HV212,Algún miembro de su hogar ¿tiene carro o camión?,N,1,0:1,1,Si,
14,HV213,Material predominante del piso de la vivienda,N,2,"11, 21, 31:34, 96",11,Tierra/arena,
14,HV213,Material predominante del piso de la vivienda,N,2,"11, 21, 31:34, 96",21,Madera,
14,HV213,Material predominante del piso de la vivienda,N,2,"11, 21, 31:34, 96",31,Parquet o madera pulida,
14,HV213,Material predominante del piso de la vivienda,N,2,"11, 21, 31:34, 96",32,"Láminas asfálticas, vinílicos o similares",
14,HV213,Material predominante del piso de la vivienda,N,2,"11, 21, 31:34, 96",33,"Losetas, terrazos o similares",
