Nº,VARIABLE,DESCRIPCIÓN DE LAS VARIABLES,TIPO DE CARÁCTER,LONGITUD,RANGO DE VARIACIÓN,VALORES,DESCRIPCIÓN DE LAS ALTERNATIVAS,OBS
1,ID1,Año,N,4,,,,
2,HHID,Identificación Cuestionario Individual,AN,18,,,,
3,HC0,Número de orden en el hogar,N,2,,,,
4,HC1,Edad en meses,N,2,0:59,,,
5,HC2,Peso en kilogramos (1 dec.),N,4,15:500,,,
6,HC3,Altura en centímetros (1 dec.),N,4,400:1500,,,
7,HC4,Talla/Edad percentil,N,4,,9998,Casos marcados,
8,HC5,Talla/Edad Desviación Estándar,N,4,,9998,Casos marcados,
9,HC6,Talla/Edad porcentaje de la mediana de referencia,N,5,,9998,Casos marcados,
10,HC7,Peso/Edad percentil,N,4,,9998,Casos marcados,
11,HC8,Peso/Edad Desviación Estándar,N,4,,9998,Casos marcados,
12,HC9,Peso/Edad porcentaje de la mediana de referencia,N,5,,9998,Casos marcados,
13,HC10,Peso/Talla percentil,N,4,,9998,Casos marcados,
14,HC11,Peso/Talla Desviación Estándar,N,4,,9998,Casos marcados,
15,HC12,Peso/Talla Porcentaje de la mediana de referencia,N,5,,9998,Casos marcados,
16,HC13,Razón por la cual el niño no se midió,N,1,"0, 3:6",0,Medido,
16,HC13,Razón por la cual el niño no se midió,N,1,"0, 3:6",3,No presente,
16,HC13,Razón por la cual el niño no se midió,N,1,"0, 3:6",4,Rechazó,
16,HC13,Razón por la cual el niño no se midió,N,1,"0, 3:6",5,Parcialmente medido,
16,HC13,Razón por la cual el niño no se midió,N,1,"0, 3:6",6,Otro,
17,HC15,El niño se midió acostado o de pie,N,1,1:2,1,Acostado,
17,HC15,El niño se midió acostado o de pie,N,1,1:2,2,De pie,
18,HC16,Día de nacimiento del niño,N,2,1:31,,,
19,HC19,Año de la medición,N,4,2018:2025,,,
20,HC27,Sexo,N,1,1:2,1,Hombre,
20,HC27,Sexo,N,1,1:2,2,Mujer,
21,HC30,Mes de nacimiento del niño,N,2,1:12,,,
22,HC31,Año de nacimiento del niño,N,4,2013:2018,,,
23,HC32,Fecha de nacimiento (cmc),N,4,,,,
24,HC33,Fecha de información completa,N,1,,,,
25,HC51,Número de orden del padre o responsable,N,2,0:20,,,
26,HC52,Leyó la declaración de consentimiento,N,1,1:2,1,Aceptó,
26,HC52,Leyó la declaración de consentimiento,N,1,1:2,2,Rechazó/otro,
27,HC53,Nivel de hemoglobina (g/dl-1 decimal),N,3,,,,
28,HC55,Resultado de medir (hemoglobina),N,1,"0, 3:4, 6",0,Medido,
28,HC55,Resultado de medir (hemoglobina),N,1,"0, 3:4, 6",3,No presente,
28,HC55,Resultado de medir (hemoglobina),N,1,"0, 3:4, 6",4,Rechazó,
28,HC55,Resultado de medir (hemoglobina),N,1,"0, 3:4, 6",6,Otro,
29,HC56,Nivel de hemoglobina ajustado por altitud (g/dl-1 decimal),N,3,,,,
30,HC57,Nivel de anemia,N,1,1:4,1,Grave,
30,HC57,Nivel de anemia,N,1,1:4,2,Moderar,
30,HC57,Nivel de anemia,N,1,1:4,3,Leve,
30,HC57,Nivel de anemia,N,1,1:4,4,Sin anemia,
31,HC58,Está de acuerdo con enviar los datos a un especialista,N,1,,,,
32,HC60,Número de orden de la madre en el hogar,N,3,"1:20, 993:995",993,Madre no de facto (MEF que no durmieron la noche anterior),
32,HC60,Número de orden de la madre en el hogar,N,3,"1:20, 993:995",994,Entrevista incompleta de la MEF,
32,HC60,Número de orden de la madre en el hogar,N,3,"1:20, 993:995",995,Madre no vive en el hogar,
33,HC61,El nivel educativo más alto de la madre,N,1,"0:3, 8",0,Sin educación,
33,HC61,El nivel educativo más alto de la madre,N,1,"0:3, 8",1,Primaria,
33,HC61,El nivel educativo más alto de la madre,N,1,"0:3, 8",2,Secundaria,
33,HC61,El nivel educativo más alto de la madre,N,1,"0:3, 8",3,Superior,
33,HC61,El nivel educativo más alto de la madre,N,1,"0:3, 8",8,No sabe,
34,HC62,El año más alto de educación de la madre,N,2,0:6,,,
35,HC63,Intervalo de los nacimientos anteriores al niño,N,3,,,,
36,HC64,Número de orden de nacimiento,N,2,,,,
37,HC68,Nivel educativo más alto (CS para informe preliminar y final),N,1,"0:3, 8",0,Sin educación,HC61
37,HC68,Nivel educativo más alto (CS para informe preliminar y final),N,1,"0:3, 8",1,Primaria,HC61
37,HC68,Nivel educativo más alto (CS para informe preliminar y final),N,1,"0:3, 8",2,Secundaria,HC61
37,HC68,Nivel educativo más alto (CS para informe preliminar y final),N,1,"0:3, 8",3,Superior,HC61
37,HC68,Nivel educativo más alto (CS para informe preliminar y final),N,1,"0:3, 8",8,No sabe,HC61
38,HC70,Talla/Edad de la Desviación Estándar de la mediana de referencia (según la OMS),N,4,-450:500,9996,Altura fuera de los límites plausibles.,
38,HC70,Talla/Edad de la Desviación Estándar de la mediana de referencia (según la OMS),N,4,-450:500,9997,Edad en días fuera de límites plausibles,
