Nº,VARIABLE,DESCRIPCIÓN DE LAS VARIABLES,TIPO DE CARÁCTER,LONGITUD,RANGO DE VARIACIÓN,VALORES,DESCRIPCIÓN DE LAS ALTERNATIVAS,OBS
1,ID1,Año,N,4,,,,
2,HHID,Identificacion Cuestionario del Hogar,AN,15,000100101:317599999,,,
3,HV000,Código del país,A,3,PE6,,,
4,HV001,Conglomerado,N,8,1:3175,,,
5,HV002,Vivienda,N,4,1:9998,,,
6,HV002A,Hogar,N,3,1:5,,,
7,HV003,Número de orden del Informante del cuestionario del hogar,N,3,1:15,,,
8,HV004,Unidad última de muestreo,N,4,1:3175,,,
9,HV007,Año de entrevista,N,4,,,,
10,HV008,Fecha de entrevista meses (CMC),N,4,,,,
11,HV009,Total de personas en el hogar,N,2,1:25,,,
12,HV010,Número de mujeres elegibles para entrevista individual,N,2,1:25,,,
13,HV011,Número de hombres elegibles por hogar,N,2,,,,VALOR 0
14,HV012,Número de miembros de jure (residentes habituales),N,2,0:25,,,
15,HV013,Número de miembros de facto (personas que durmieron la noche anterior),N,2,0:25,,,
16,HV014,Número de niños menores de 5 años,N,2,0:24,,,
17,HV015,Resultado de la entrevista en el hogar,N,1,1:9,1,Completo,
17,HV015,Resultado de la entrevista en el hogar,N,1,1:9,2,Hogar presente pero entrevistado ausente,
17,HV015,Resultado de la entrevista en el hogar,N,1,1:9,3,Hogar ausente,
17,HV015,Resultado de la entrevista en el hogar,N,1,1:9,4,Aplazada,
17,HV015,Resultado de la entrevista en el hogar,N,1,1:9,5,Rechazada,
17,HV015,Resultado de la entrevista en el hogar,N,1,1:9,6,Vivienda desocupada o no es vivienda,
17,HV015,Resultado de la entrevista en el hogar,N,1,1:9,7,Vivienda destruida,
17,HV015,Resultado de la entrevista en el hogar,N,1,1:9,8,Vivienda no encontrada,
17,HV015,Resultado de la entrevista en el hogar,N,1,1:9,9,Otro,
18,HV017,Número de visitas,N,1,1:9,,,
19,HV020,Muestra de alguna vez en union,N,1,,,,VALOR 0
20,HV021,Unidad de muestreo primario (conglomerado),N,4,1:3175,,,
21,HV023,Dominio,N,2,1:25,1,Amazonas,
21,HV023,Dominio,N,2,1:25,2,Ancash,
21,HV023,Dominio,N,2,1:25,3,Apurimac,
21,HV023,Dominio,N,2,1:25,4,Arequipa,
21,HV023,Dominio,N,2,1:25,5,Ayacucho,
21,HV023,Dominio,N,2,1:25,6,Cajamarca,
21,HV023,Dominio,N,2,1:25,7,Callao,
21,HV023,Dominio,N,2,1:25,8,Cusco,
21,HV023,Dominio,N,2,1:25,9,Huancavelica,
21,HV023,Dominio,N,2,1:25,10,Huanuco,
21,HV023,Dominio,N,2,1:25,11,Ica,
21,HV023,Dominio,N,2,1:25,12,Junin,
21,HV023,Dominio,N,2,1:25,13,La Libertad,
21,HV023,Dominio,N,2,1:25,14,Lambayeque,
21,HV023,Dominio,N,2,1:25,15,Lima,
21,HV023,Dominio,N,2,1:25,16,Loreto,
21,HV023,Dominio,N,2,1:25,17,Madre de Dios,
21,HV023,Dominio,N,2,1:25,18,Moquegua,
21,HV023,Dominio,N,2,1:25,19,Pasco,
21,HV023,Dominio,N,2,1:25,20,Piura,
21,HV023,Dominio,N,2,1:25,21,Puno,
21,HV023,Dominio,N,2,1:25,22,San Martin,
21,HV023,Dominio,N,2,1:25,23,Tacna,
21,HV023,Dominio,N,2,1:25,24,Tumbes,
21,HV023,Dominio,N,2,1:25,25,Ucayali,
22,HV024,Región,N,2,1:25,1,Amazonas,
22,HV024,Región,N,2,1:25,2,Ancash,
22,HV024,Región,N,2,1:25,3,Apurimac,
22,HV024,Región,N,2,1:25,4,Arequipa,
22,HV024,Región,N,2,1:25,5,Ayacucho,
22,HV024,Región,N,2,1:25,6,Cajamarca,
22,HV024,Región,N,2,1:25,7,Callao,
22,HV024,Región,N,2,1:25,8,Cusco,
22,HV024,Región,N,2,1:25,9,Huancavelica,
22,HV024,Región,N,2,1:25,10,Huanuco,
22,HV024,Región,N,2,1:25,11,Ica,
22,HV024,Región,N,2,1:25,12,Junin,
22,HV024,Región,N,2,1:25,13,La Libertad,
22,HV024,Región,N,2,1:25,14,Lambayeque,
22,HV024,Región,N,2,1:25,15,Lima,
22,HV024,Región,N,2,1:25,16,Loreto,
22,HV024,Región,N,2,1:25,17,Madre de Dios,
22,HV024,Región,N,2,1:25,18,Moquegua,
22,HV024,Región,N,2,1:25,19,Pasco,
22,HV024,Región,N,2,1:25,20,Piura,
22,HV024,Región,N,2,1:25,21,Puno,
22,HV024,Región,N,2,1:25,22,San Martin,
22,HV024,Región,N,2,1:25,23,Tacna,
22,HV024,Región,N,2,1:25,24,Tumbes,
22,HV024,Región,N,2,1:25,25,Ucayali,
23,HV025,Área de residencia,N,1,1:2,1,Urbano,
23,HV025,Área de residencia,N,1,1:2,2,Rural,
24,HV026,Lugar de residencia,N,1,0:3,0,"Capital, gran ciudad",
24,HV026,Lugar de residencia,N,1,0:3,1,Pequeña ciudad,
24,HV026,Lugar de residencia,N,1,0:3,2,Pueblo,
24,HV026,Lugar de residencia,N,1,0:3,3,Campo,
25,HV027,Selección para hombre/esposo,N,1,0:2,0,No seleccionado,VALOR 0
25,HV027,Selección para hombre/esposo,N,1,0:2,1,Encuesta de hombres,VALOR 0
25,HV027,Selección para hombre/esposo,N,1,0:2,2,Encuesta del esposo,VALOR 0
26,HV028,Peso de muestra masculino,N,8,,,,VALOR NULL
27,HV030,Supervisor de campo,N,3,,,,VALOR 0
28,HV031,Editor de campo,N,3,,,,VALOR NULL
29,HV032,Editor de la oficina,N,2,,,,VALOR 0
30,HV033,Ultimate area selection prob.,N,8,,,,VALOR NULL
31,HV035,Número de niños elegibles para altura y peso,N,2,0:24,,,
32,HV040,Altitud del conglomerado en metros,N,4,-24:5100,,,
33,HV041,Número de mujeres con medición de peso y talla,N,2,0:24,,,
34,HV042,Selección para medición de  hemoglobina,N,1,0:1,0,No seleccionado,
34,HV042,Selección para medición de  hemoglobina,N,1,0:1,1,Seleccionado,
35,HV043,Hogares seleccionados para el módulo de mujeres de estado,N,1,0:1,0,Hogar no seleccionado,VALOR 0
35,HV043,Hogares seleccionados para el módulo de mujeres de estado,N,1,0:1,1,Hogar seleccionado,VALOR 0
36,HV044,Selección para el módulo de violencia familiar,N,1,0:1,0,Hogar no seleccionado,
36,HV044,Selección para el módulo de violencia familiar,N,1,0:1,1,Hogar seleccionado,
37,UBIGEO,Código de Ubicación Gegráfica,AN,6,,,,
38,HV005,Factor de ponderación,N,8,,,,
39,HV022,Estrato,N,1,1:250,,,
40,NCONGLOME,Número de Conglomerado (proveniente del marco),,,,,,
41,CODCCPP,Codigo de Centro Poblado,AN,4,,,,
42,NOMCCPP,Nombre del Centro Poblado,AN,80,,,,
43,LONGITUDX,Longitud,N,13,,,,
44,LATITUDY,Latitud,N,13,,,,
