Nº,VARIABLE,DESCRIPCIÓN DE LAS VARIABLES,TIPO DE CARÁCTER,LONGITUD,RANGO DE VARIACIÓN,VALORES,DESCRIPCIÓN DE LAS ALTERNATIVAS,OBS
1,ID1,Año,N,,,,,
2,HHID,Identificación Cuestionario del Hogar,AN,15,00:09,,,
3,QHCLUSTER,Conglomerado,N,4,,,,
4,QHNUMBER,Vivienda seleccionada,N,3,,,,
5,QHHOME,Hogar seleccionado,N,2,01:05,,,
6,QSNUMERO,Número de la persona seleccionada,N,2,01:25,,,
7,QSINTY,Año de visita final,N,4,2017,,,
8,QSTOTVISIT,Número total de visitas,N,2,01:10,,,
9,QSRESULT,Codigo resultado final,N,1,"1:6, 9",1,Completa,
9,QSRESULT,Codigo resultado final,N,1,"1:6, 9",2,Ausente,
9,QSRESULT,Codigo resultado final,N,1,"1:6, 9",3,Aplazada,
9,QSRESULT,Codigo resultado final,N,1,"1:6, 9",4,Rechazada,
9,QSRESULT,Codigo resultado final,N,1,"1:6, 9",5,Incompleta,
9,QSRESULT,Codigo resultado final,N,1,"1:6, 9",6,Discapacitada(o),
9,QSRESULT,Codigo resultado final,N,1,"1:6, 9",9,Otra,
10,QSRESULTX,Otro resultado,AN,30,"A:Z, 0:9",,,
11,QSNINOS,Total Niños/Niñas de 0 a 11 años,N,2,01:15,,,VALOR NULL
12,QSRESINF,Resultado informante,N,1,"1:6, 9",1,Completa,
12,QSRESINF,Resultado informante,N,1,"1:6, 9",2,Ausente,
12,QSRESINF,Resultado informante,N,1,"1:6, 9",3,Aplazada,
12,QSRESINF,Resultado informante,N,1,"1:6, 9",4,Rechazada,
12,QSRESINF,Resultado informante,N,1,"1:6, 9",5,Incompleta,
12,QSRESINF,Resultado informante,N,1,"1:6, 9",6,Discapacitada(o),
12,QSRESINF,Resultado informante,N,1,"1:6, 9",9,Otra,
13,QSORDNIN1,Primera niña o niño,N,2,02:15,,,VALOR NULL
14,QSRESNIN1,Resultado niña(o)1,N,1,"1:6, 9",,,VALOR NULL
15,QSORDNIN2,Segunda  niña o niño,N,2,02:15,,,VALOR NULL
16,QSRESNIN2,Resultado niña(o) 2,N,1,"1:6, 9",,,VALOR NULL
17,QSORDNIN3,Tercera niña o niño,N,2,02:15,,,VALOR NULL
18,QSRESNIN3,Resultado niña(o) 3,N,1,"1:6, 9",,,VALOR NULL
19,QSORDNIN4,Cuarta niña o niño,N,2,02:15,,,VALOR NULL
20,QSRESNIN4,Resultado niña(o) 4,N,1,"1:6, 9",,,VALOR NULL
21,QSORDNIN5,Quinto niño o niña,N,2,02:15,,,VALOR NULL
22,QSRESNIN5,Resultado niña(o) 5,N,1,"1:6, 9",,,VALOR NULL
23,QSORDNIN6,Sexto niño o niña,N,2,02:15,,,VALOR NULL
24,QSRESNIN6,Resultado niña(o) 6,N,1,"1:6, 9",,,VALOR NULL
25,QSORDNIN7,Sétimo niño o niña,N,2,02:15,,,VALOR NULL
26,QSRESNIN7,Resultado niña(o) 7,N,1,"1:6, 9",,,VALOR NULL
27,QSORDNIN8,Octavo niño o niña,N,2,02:15,,,VALOR NULL
28,QSRESNIN8,Resultado niña(o) 8,N,1,"1:6, 9",,,VALOR NULL
29,QSORDNIN9,Noveno niño o niña,N,2,02:15,,,VALOR NULL
30,QSRESNIN9,Resultado niña(o) 9,N,1,"1:6, 9",,,VALOR NULL
31,QSORDNIND,Decimo niño o niña,N,2,02:15,,,VALOR NULL
32,QSRESNIND,Resultado niña(o) 10,N,1,"1:6, 9",,,VALOR NULL
33,CONTROL_S,Diligenciar Salud,N,1,01:02,,,VALOR NULL
34,QS20C,Codigo persona seleccionada,N,2,01:25,,,
35,QSSEXO,Sexo de la persona seleccionada,N,1,01:02,1,Hombre,
35,QSSEXO,Sexo de la persona seleccionada,N,1,01:02,2,Mujer,
36,QSMEF,Informante en Mef,N,1,01:02,1,Si,
36,QSMEF,Informante en Mef,N,1,01:02,2,No,
37,QSDIA,Día de nacimiento,N,2,01:31,,,
38,QS22M,Mes de nacimiento,N,2,01:12,1,Enero,
38,QS22M,Mes de nacimiento,N,2,01:12,2,Febrero,
38,QS22M,Mes de nacimiento,N,2,01:12,3,Marzo,
38,QS22M,Mes de nacimiento,N,2,01:12,4,Abril,
38,QS22M,Mes de nacimiento,N,2,01:12,5,Mayo,
38,QS22M,Mes de nacimiento,N,2,01:12,6,Junio,
38,QS22M,Mes de nacimiento,N,2,01:12,7,Julio,
38,QS22M,Mes de nacimiento,N,2,01:12,8,Agosto,
38,QS22M,Mes de nacimiento,N,2,01:12,9,Septiembre,
38,QS22M,Mes de nacimiento,N,2,01:12,10,Octubre,
38,QS22M,Mes de nacimiento,N,2,01:12,11,Noviembre,
38,QS22M,Mes de nacimiento,N,2,01:12,12,Diciembre,
39,QS22A,Año de nacimiento,N,4,2012,,,
40,QS23,Años cumplidos,N,2,0.693055556,,,
41,QS24,Asistió a la escuela,N,1,01:02,1,Si,
41,QS24,Asistió a la escuela,N,1,01:02,2,No,
42,QS25N,Nivel que aprobó,N,1,00:05,0,"Inicial, pre-escolar",
42,QS25N,Nivel que aprobó,N,1,00:05,1,Primaria,
42,QS25N,Nivel que aprobó,N,1,00:05,2,Secundaria,
42,QS25N,Nivel que aprobó,N,1,00:05,3,Superior No Universitaria,
42,QS25N,Nivel que aprobó,N,1,00:05,4,Superior Universitaria,
42,QS25N,Nivel que aprobó,N,1,00:05,5,Postgrado,
43,QS25AG,Grado o año,N,1,01:02,1,Educación en años,
43,QS25AG,Grado o año,N,1,01:02,2,Educación en grados,
44,QS25A,Año de estudios,N,1,00:06,6,6 o más,
45,QS25G,Grado de estudios,N,1,01:06,6,6 o más,
46,QS25AA,¿Cuál es el idioma o lengua materna que aprendió hablar en su niñez,N,2,01:12,1,Quechua,
46,QS25AA,¿Cuál es el idioma o lengua materna que aprendió hablar en su niñez,N,2,01:12,2,Aimara,
46,QS25AA,¿Cuál es el idioma o lengua materna que aprendió hablar en su niñez,N,2,01:12,3,Ashaninka,
46,QS25AA,¿Cuál es el idioma o lengua materna que aprendió hablar en su niñez,N,2,01:12,4,Awajun/Aguaruna,
46,QS25AA,¿Cuál es el idioma o lengua materna que aprendió hablar en su niñez,N,2,01:12,5,Shipibo/Konibo,
46,QS25AA,¿Cuál es el idioma o lengua materna que aprendió hablar en su niñez,N,2,01:12,6,Shawi/Chayahuita,
46,QS25AA,¿Cuál es el idioma o lengua materna que aprendió hablar en su niñez,N,2,01:12,7,Matsigenka/Machiguenga,
46,QS25AA,¿Cuál es el idioma o lengua materna que aprendió hablar en su niñez,N,2,01:12,8,Achuar,
46,QS25AA,¿Cuál es el idioma o lengua materna que aprendió hablar en su niñez,N,2,01:12,9,Otra lengua nativa u originaria,
46,QS25AA,¿Cuál es el idioma o lengua materna que aprendió hablar en su niñez,N,2,01:12,10,Castellano,
46,QS25AA,¿Cuál es el idioma o lengua materna que aprendió hablar en su niñez,N,2,01:12,11,Portugués,
46,QS25AA,¿Cuál es el idioma o lengua materna que aprendió hablar en su niñez,N,2,01:12,12,Otra lengua extranjera,
47,QS25BB,Por sus antepasados y de acuerdo a sus costumbres ¿Usted se siente o se considera:,N,2,"1:8, 98",1,Quechua,
47,QS25BB,Por sus antepasados y de acuerdo a sus costumbres ¿Usted se siente o se considera:,N,2,"1:8, 98",2,Aimara,
47,QS25BB,Por sus antepasados y de acuerdo a sus costumbres ¿Usted se siente o se considera:,N,2,"1:8, 98",3,Nativo o indígena de la amazonia,
47,QS25BB,Por sus antepasados y de acuerdo a sus costumbres ¿Usted se siente o se considera:,N,2,"1:8, 98",4,Perteneciente o parte de otro pueblo,
47,QS25BB,Por sus antepasados y de acuerdo a sus costumbres ¿Usted se siente o se considera:,N,2,"1:8, 98",5,"Negro/moreno/zambo/mulato/pueblo afroperuano
o afrodescendiente",
47,QS25BB,Por sus antepasados y de acuerdo a sus costumbres ¿Usted se siente o se considera:,N,2,"1:8, 98",6,Blanco,
47,QS25BB,Por sus antepasados y de acuerdo a sus costumbres ¿Usted se siente o se considera:,N,2,"1:8, 98",7,Mestizo,
47,QS25BB,Por sus antepasados y de acuerdo a sus costumbres ¿Usted se siente o se considera:,N,2,"1:8, 98",8,Otro,
47,QS25BB,Por sus antepasados y de acuerdo a sus costumbres ¿Usted se siente o se considera:,N,2,"1:8, 98",98,No sabe/No responde,
48,QS25C1,"Alguna dificultad para ver, aún usando anteojos",N,1,01:02,1,Si,
48,QS25C1,"Alguna dificultad para ver, aún usando anteojos",N,1,01:02,2,No,
49,QS25C2,"Alguna dificultad para oír, aún usando audífonos",N,1,01:02,1,Si,
